price_id,product_id,product_name,product_statement_descriptor,product_tax_code,description,created_utc,amount,currency,interval,interval_count,usage_type,aggregate_usage,billing_scheme,trial_period_days,tax_behavior,gst_rate_metadata,includes_gst_metadata,original_price_id_metadata,tax_amount_metadata,money_metadata,usage_limit_for_sessions_metadata,usage_limit_for_appointments_metadata,maximum_auto_renews_metadata,free_trial_metadata,includes_on_demand_metadata,minimum_auto_renews_metadata,studios_metadata,tax_rate_percent_metadata,validity_unit_metadata,location_metadata,freeze_duration_total_metadata,no_of_sessions_metadata,freeze_attempts_metadata,validity_metadata,price_after_tax_metadata,is_intro_offer_metadata,tax_bracket_id_metadata,city_from_host_id_metadata,activate_on_first_use_metadata,number_of_events_metadata,price_type_metadata,paid_trial_amount_metadata,allow_first_membership_only_metadata,auto_renew_metadata,membership_id_metadata,featured_metadata,subscription_type_metadata,pre_tax_price_metadata,duration_unit_metadata,host_id_metadata,type_metadata,modified_at_metadata,counts_as_free_for_payroll_metadata,guest_combined_usage_limit_metadata,price_metadata,duration_metadata,combined_usage_limit_enabled_metadata,host_name_metadata,city_metadata,is_guest_pass_enabled_metadata,disabled_metadata,is_single_buy_metadata,free_trial_duration_in_days_metadata,membership_name_metadata,valid_for_metadata,created_at_metadata,session_count_metadata,order_number_metadata,momence_id_metadata
price_1SvY7GFDEp8YEMWaU3xSeSbJ,prod_TtKmYcZ1Dg2mD8,Studio Private - Anisha (Single Class),,,Mumbai,2026-01-31 06:57,6247.50,inr,,,,,per_unit,,unspecified,5,true,,,5900,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,7,1,0,7,6248,false,36758,Mumbai,true,1,fixed-price,0,false,false,423238,false,absolute,5950,days,13752,package-events,2025-09-22T03:46:23.766Z,false,0,5950,7,false,,Mumbai,false,false,false,7,,7 days,2025-05-08T11:08:17.992Z,1,,423238
price_1SvY7FFDEp8YEMWalB9pVZiG,prod_TtKmL7axUvNLYZ,Studio Extended 10 Single Class Pack,,,Mumbai,2026-01-31 06:57,15750.00,inr,,,,,per_unit,,unspecified,5,true,,,,10,0,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,90,10,3,90,15750,false,36758,Mumbai,true,,fixed-price,0,false,false,395212,false,absolute,15000,days,13752,subscription,2025-09-21T18:35:20.113Z,false,0,15000,90,false,,Mumbai,false,false,false,7,,90 days,2025-03-18T11:05:58.514Z,10,,395212
price_1SvY7FFDEp8YEMWaLDEiz1Hu,prod_TtKmxJjnNEIO75,Newcomers 2 For 1,,,Mumbai,2026-01-31 06:57,1837.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,14,2,0,14,1838,true,36758,Mumbai,true,2,fixed-price,0,false,false,240932,false,absolute,1750,days,13752,package-events,2026-01-01T05:41:57.466Z,false,0,1750,14,false,,Mumbai,false,false,true,7,,14 days,2024-07-30T10:44:56.739Z,2,,240932
price_1SvY7EFDEp8YEMWah3j8lniC,prod_TtKmLg6mNyIyIq,Virtual Private Class X 10,,,Mumbai,2026-01-31 06:57,47250.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,70,10,2,70,47250,false,36758,Mumbai,true,10,fixed-price,0,false,false,149879,false,absolute,45000,days,13752,package-events,2025-09-22T03:45:24.791Z,false,0,45000,70,false,,Mumbai,false,false,false,7,,70 days,2024-01-12T11:42:05.191Z,10,61,149879
price_1SvY7DFDEp8YEMWa8oGwSjWq,prod_TtKmS22b3K4A6w,Studio Annual Membership - Monthly Intsallment,,,Mumbai,2026-01-31 06:57,14437.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,30,999,1,30,14438,false,36758,Mumbai,false,,fixed-price,0,false,false,144454,false,absolute,13750,days,13752,subscription,2025-09-21T18:35:11.373Z,false,0,13750,30,false,,Mumbai,false,false,false,7,,30 days,2023-12-27T11:06:24.867Z,,60,144454
price_1SvY7DFDEp8YEMWa1dymRmsY,prod_TtKmEgLxFIa95U,Studio Private Class X 10,,,Mumbai,2026-01-31 06:57,52500.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,70,10,2,70,52500,false,36758,Mumbai,true,10,fixed-price,0,false,false,121839,false,absolute,50000,days,13752,package-events,2025-09-22T03:45:08.600Z,false,0,50000,70,false,,Mumbai,false,false,false,7,,70 days,2023-10-24T13:04:14.298Z,10,56,121839
price_1SvY7CFDEp8YEMWayIEdRVRs,prod_TtKmZhtdKoZUs0,Studio 3 Month U/L Monthly Installment,,,Mumbai,2026-01-31 06:57,15225.00,inr,,,,,per_unit,,unspecified,5,true,,,,,0,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,30,999,1,30,15225,false,36758,Mumbai,true,,fixed-price,0,false,false,116641,false,absolute,14500,days,13752,subscription,2025-09-21T18:34:29.852Z,false,0,14500,30,false,,Mumbai,false,false,false,7,,30 days,2023-10-04T09:10:24.768Z,0,45,116641
price_1SvY7BFDEp8YEMWaeK4b1dif,prod_TtKmpXQvoCwvA1,Studio Happy Hour Private,,,Mumbai,2026-01-31 06:57,3150.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,7,1,0,7,3150,false,36758,Mumbai,false,1,fixed-price,0,false,false,98500,false,absolute,3000,days,13752,package-events,2025-09-22T03:44:56.859Z,false,0,3000,,false,,Mumbai,false,false,false,7,,,2023-07-28T07:38:42.914Z,1,44,98500
price_1SvY7BFDEp8YEMWaZs8ynjVa,prod_TtKmnRjWdAOYSr,Virtual Private Class,,,Mumbai,2026-01-31 06:57,4725.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,7,1,0,7,4725,false,36758,Mumbai,false,1,fixed-price,0,false,false,97977,false,absolute,4500,days,13752,package-events,2025-09-22T03:41:35.281Z,false,0,4500,,false,,Mumbai,false,false,false,7,,,2023-07-25T10:50:44.551Z,1,39,97977
price_1SvY7AFDEp8YEMWa27mN0OWc,prod_TtKm27zXS1FJxN,Festive 5 Package,,,Bengaluru,2026-01-31 06:57,4672.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kenkere House,5%,days,Bengaluru,14,5,0,14,4673,false,3457,Bengaluru,true,5,fixed-price,0,false,false,597491,false,absolute,4450,days,33905,package-events,2025-12-13T06:29:23.972Z,false,0,4450,14,false,,Bengaluru,false,false,true,7,,14 days,2025-12-13T06:29:23.972Z,5,,597491
price_1SvY7AFDEp8YEMWaCHIvGPwo,prod_TtKmKzZTkpf3WW,Anniversary Starter Pack,,,Bengaluru,2026-01-31 06:57,13125.00,inr,,,,,per_unit,,unspecified,5,true,,,,12,0,0,false,false,0,Kenkere House,5%,days,Bengaluru,45,0,2,45,13125,false,3457,Bengaluru,false,,fixed-price,0,false,false,563318,false,absolute,12500,days,33905,subscription,2025-10-29T08:29:00.065Z,false,0,12500,45,false,,Bengaluru,false,false,true,7,,45 days,2025-10-29T08:27:02.739Z,12,,563318
price_1SvY79FDEp8YEMWaWwflSmtI,prod_TtKms0VBhssjN9,Copper + Cloves 10 Class Pack,,,Bengaluru,2026-01-31 06:57,8505.00,inr,,,,,per_unit,,unspecified,5,true,,,,10,,0,false,false,0,Kenkere House,5%,days,Bengaluru,90,10,3,90,8505,false,3457,Bengaluru,true,,fixed-price,0,false,false,555182,true,absolute,8100,days,33905,subscription,2025-10-27T06:43:32.127Z,false,0,8100,90,false,,Bengaluru,false,false,false,7,,90 days,2025-10-14T08:59:57.939Z,10,,555182
price_1SvY78FDEp8YEMWa8dmFj8mT,prod_TtKmtqX26o1J4G,Copper + Cloves Credit,,,Bengaluru,2026-01-31 06:57,472.50,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kenkere House,5%,days,Bengaluru,7,1,0,7,473,false,3457,Bengaluru,true,1,fixed-price,0,false,false,548529,false,absolute,450,days,33905,package-events,2025-10-01T13:01:21.405Z,false,0,450,7,false,,Bengaluru,false,false,false,7,,7 days,2025-10-01T13:01:21.405Z,1,,548529
price_1SvY77FDEp8YEMWaE7uqFS9u,prod_TtKmQ56bRI9NVI,Copper + Cloves Single Class Package,,,Bengaluru,2026-01-31 06:57,945.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kenkere House,5%,days,Bengaluru,7,1,0,7,945,false,3457,Bengaluru,true,1,fixed-price,0,false,false,548528,true,absolute,900,days,33905,package-events,2025-12-15T09:51:07.149Z,false,0,900,7,false,,Bengaluru,false,false,false,7,,7 days,2025-10-01T12:58:38.264Z,1,,548528
